,questions,categories,answers
1096,Qual documento comprova condição de inventariante judicial?,Solicitação de Relatórios Sigilosos referentes a pessoa falecida ou desaparecida,"decisão judicial que autorizou a inventariança; eo termo de compromisso de desempenhar a função, assinado pelo inventariante; ea certidão do Juízo do Inventário que afirme que o inventariante não foi afastado da função. Atenção! Os documentos devem ter autenticação digital (código de validação, QR Code) que permita ao Banco Central acessar e visualizar todo o conteúdo do documento no site do órgão emissor."
1097,Meu banco quer que eu faça um seguro vinculado ao cartão de crédito consignado. Isso é necessário?,Empréstimos consignados Cartão de crédito consignado,"Não. Produtos e serviços financeiros opcionais devem ser adequados às suas necessidades e interesses. Além disso, os bancos devem passar informações, de forma clara e objetiva, para ajudá-lo a decidir se contrata o empréstimo."
1098,Quanto o usuário paga para usar o Pix?,Pagamento Instantâneo (Pix) Entendendo sobre as tarifas do Pix,"As pessoas físicas são isentas de cobrança de tarifas para:    Fazer um Pix (envio de recursos, com finalidade de transferência e de compra); e Receber um Pix (recebimento de recursos, com a finalidade de transferência).    As situações que as pessoas físicas poderão ser tarifadas são as seguintes:  Ao fazer um Pix: quando utilizado canal de atendimento presencial ou pessoal da instituição, inclusive por telefone, quando estiverem disponíveis meios eletrônicos; Ao receber um Pix, em contrapartida a vendas comerciais, nos seguintes casos:                   - recebimento de mais de 30 Pix por mês, via inserção manual, chave Pix, QR Estático ou serviço de iniciação de transação de pagamento, quando o                        participante possui todas as informações do usuário recebedor (a cobrança só pode ser feita a partir do 31º Pix recebido);            - recebimento com QR Code dinâmico;         - recebimento com QR Code de um pagador pessoa jurídica;         - recebimento em conta definida em contrato como de uso exclusivo para fins comerciais.  Atenção! No âmbito do Pix, aplicam-se aos microempreendedores individuais (MEIs) e empresários individuais as mesmas regras de pessoas físicas. Por sua vez, aplicam-se à Empresa Individual de Responsabilidade Limitada (EIRELI) as regras de pessoa jurídica."
1099,Como será feito o compartilhamento de dados?,SEM-CATEGORIA,"As instituições devem disponibilizar API que permitam que outras instituições se integrem aos seus sistemas para permitir a solicitação e o acesso aos dados do escopo do Open Banking de forma segura, precisa e criptografada, e mediante prévio consentimento do consumidor nos dados de sua titularidade. Os dados e serviços devem estar em meio digital e serem lidos por computador."
1100,"Ao iniciar um pagamento, como se certificar de que os dados do recebedor estão corretos?",Pagamento Instantâneo (Pix) Entendendo como se faz um Pix,"Ao incluir a chave, os dados da conta, ou utilizar o QR Code (pela leitura ou pela opção ""Pix Copia e Cola""), o app da sua instituição indica, na tela de confirmação da operação, as informações do recebedor. Confira se os dados batem com o da pessoa ou empresa a quem você quer transferir o recurso ou efetuar o pagamento. Caso os dados não batam, é importante que busque a informação correta com o destinatário, para que confirme os dados, efetue sua operação com sucesso e evite golpes ou pagamentos para o destinatário incorreto."
1101,Posso entrar em um consórcio que já começou?,Consórcios Grupo de consórcio,Sim. Há duas formas de aderir a um grupo de consórcio em andamento. Você pode comprar a cota diretamente de um consorciado ou comprar uma cota vaga diretamente na administradora.
1102,Qual a utilidade do CET?,SEM-CATEGORIA,"Ao conhecer previamente o custo total da operação de crédito, fica mais fácil para o consumidor comparar as diferentes ofertas de crédito feitas pelas instituições financeiras.  Antes de contratar uma operação, compare o CET fornecido por outras instituições financeiras para crédito de mesmo valor e prazo."
1103,Para que servem as informações provenientes do relatório de operações de câmbio e transferências internacionais?,Registrato,"Servem para o cidadão ou empresa obter de forma consolidada as transações de operações de câmbio e transferências internacionais registradas em um período determinado. O documento é utilizado, por exemplo, por estudantes estrangeiros que realizam intercâmbio no Brasil e precisam comprovar que não recebem auxílio financeiro externo para se candidatarem a bolsas de estudo junto ao Ministério das Relações Exteriores (MRE). Também é usado por empresas que precisam comprovar a realização ou não de transações internacionais – tais como exportações, importações e transferências financeiras."
1104,O que ocorrerá se a ordem de compra ainda não tiver sido cumprida e não houver dinheiro disponível para devolução?,Liquidação Extrajudicial - Corretoras de câmbio,"Nesse caso, se o liquidante tiver arrecadado o valor entregue à corretora para a citada compra, caberá a ele reconhecer o direito à restituição do cliente e registrá-lo no passivo da corretora de câmbio, para eventual pagamento, de acordo com as disponibilidades da massa.  O direito à restituição sempre dependerá dos requisitos legais a serem verificados no caso concreto, como exposto, com exemplos, na resposta ao item 2."
1105,Moedas danificadas têm valor?,SEM-CATEGORIA,"Moedas tortas, perfuradas, desfiguradas ou com danos de qualquer outra natureza, desde que estejam inteiras e não haja dúvidas quanto ao valor, devem ser trocadas ou depositadas em agência de qualquer banco comercial. Moedas que não estejam inteiras ou sobre as quais haja dúvidas quanto ao valor podem ser encaminhadas para exame no Banco Central do Brasil, por meio de agência de qualquer banco comercial."
1106,"No caso de antecipação de pagamento de juros, é necessário o registro de evento de antecipação no RDE-ROF?",Registro Declaratório Eletrônico - Registro de Operações Financeiras (RDE-ROF) Operações Cambiais e Transferências Internacionais em Reais (TIR) relacionadas ao RDE-ROF,Não é necessário nenhum registro no RDE-ROF.
1107,Quais funcionalidades do Bacen Jud foram mantidas no SISBAJUD?,SEM-CATEGORIA,"Tal como o Bacen Jud, o SISBAJUD contempla: a distribuição de ordens judiciais de bloqueio, desbloqueio e transferência de valores bloqueados para contas judiciais para as instituições financeiras, tanto para requisição de informações, incluindo informações bancárias, como saldos e endereços de pessoas físicas e jurídicas clientes do Sistema Financeiro Nacional; e o módulo de sigilo bancário, que automatiza o envio e o acompanhamento de ordem judicial de afastamento de sigilo bancário para as instituições financeiras em tempo real e com transmissão das informações requeridas de forma digital, incluindo extratos. O SISBAJUD adota o mesmo leiaute de arquivos e protocolo de comunicação do Bacen Jud. Assim, o ambiente de produção do sistema anterior não foi impactado pelo novo sistema."
1108,Quais matérias podem ser alegadas em defesa?,Processo Administrativo Sancionador Defesa do acusado,"A defesa é a oportunidade em que o acusado deverá juntar os documentos destinados a provar suas alegações e indicar as demais provas que pretenda produzir, sob pena de preclusão e revelia.  Contudo, o BCB indeferirá, de forma fundamentada, as provas ilícitas, impertinentes, desnecessárias ou protelatórias e somente considerará as informações que estiverem em seu poder. O BCB poderá, ainda, tomar o depoimento de qualquer pessoa que possa contribuir para a apuração dos fatos objeto da investigação."
1109,As instituições podem consultar as minhas informações no SCR sem minha autorização?,SEM-CATEGORIA,Não. As instituições só podem consultar as suas informações se você tiver concedido autorização específica.
1110,O que deve ser declarado no Censo de Capitais Estrangeiros?,Censo Anual de Capitais Estrangeiros no País,"Se a empresa se encaixa em pelo menos um dos critérios de obrigatoriedade, deve    declarar todas informações abaixo: Dados da empresa no menu Declarante >> Dados da empresa declarante.Caso haja investidor não residente com poder de voto igual ou superior a 10%, devem ser preenchidas as seguintes fichas:Distribuição do ativo imobilizado no menu Declarante >> Distribuição do ativo imobilizadoDistribuição de emprego no menu Declarante >> Distribuição do ativo imobilizado         Distribuição de receita bruta no menu Declarante>> Distribuição do ativo imobilizadoInformações dos investidores com poder de voto igual ou superior a 10%, no menu Cadastro de investidor ou credor não residente >> Investidor         não residente com poder de voto igual ou superior a 10%.Se o declarante possui passivos exigíveis com não residentes, de qualquer tipo, deve informá-los no menu Passivos com não residentes.       Antes do preenchimento, é necessário identificar a relação da empresa declarante com o credor não residente. Para mais informações a respeito do tipo de      relação entre a empresa declarante e o credor não residente, consultar a pergunta 4.2 nesta seção ou consultar a seção específica noManual do DeclaranteFinalizar a declaração no menu Declaração >> Finalizar declaração."
1111,Os rendimentos devem ser informados descontados de impostos?,CBE - Capitais Brasileiros no Exterior Informando os ativos no exterior,"Sim. Informe o valor líquido de rendimentos, já descontando impostos."
1112,Possuo uma empresa no exterior juntos com outros sócios. Declaro o valor total ou apenas minha parcela?,CBE - Capitais Brasileiros no Exterior Informando os ativos no exterior,"Caso a participação no poder de voto da empresa seja menor que 10%, deve ser informado no campo “Valor de participação na empresa na data-base”, na ficha “Empresas – Participação no capital”, apenas o valor da participação do declarante no capital social da empresa.  Caso a participação no poder de voto seja igual ou superior a 10%, informe o valor integral da empresa no campo “Valor da empresa na data-base”, na ficha “Empresas – Participação no capital."
1113,Quais são os requisitos essenciais para a autenticação?,Open Banking  Autorização do cliente para compartilhamento de seus dados,"A instituição transmissora de dados ou detentora de conta deve adotar procedimentos e controles para autenticação: do cliente, uma única vez a cada consentimento; e da instituição receptora de dados ou iniciadora de transação de pagamento, uma única vez a cada chamada de interface.  Importante! Os procedimentos e controles para autenticação de cliente devem ser compatíveis com os aplicáveis ao acesso, pelos clientes, a canais de atendimento eletrônicos disponibilizados pela instituição, levando-se em consideração o nível de risco, o tipo de dado ou serviço objeto de compartilhamento e o canal de atendimento. Essa compatibilidade abrange os fatores de autenticação, a quantidade de etapas e a duração do procedimento."
1114,"Se for utilizado o SML, com o registro da fatura em reais, podem-se utilizar as linhas de crédito Adiantamento sobre Contrato de Câmbio (ACC) e Adiantamento sobre Cambiais Entregues (ACE)?",Sistema de Pagamentos em Moeda Local (SML),"O ACC e o ACE são instrumentos de financiamento desenhados para as operações de comércio exterior nas quais haja realização de câmbio e contrato de câmbio, situação inexistente no SML. Contudo, já existem formas de financiamento no mercado para antecipação dos recebíveis em reais. Consulte uma instituição financeira autorizada a realizar operações de SML (veja a pergunta 13)."
1115,O que é o entesouramento?,SEM-CATEGORIA,"O verbo entesourar é derivado do termo tesouro, que significa uma acumulação de coisas valiosas, como dinheiro ou joias. A expressão pode ser associada ao que popularmente conhecemos como “guardar dinheiro debaixo do colchão”. Esse fenômeno foi observado não só pelo Banco Central brasileiro, mas também em outros bancos centrais pelo mundo desde que a pandemia do Covid-19 começou. Em tempos de incerteza como é o caso de uma pandemia, dinheiro significa segurança. Veja quais são as possíveis causas de entesouramento:Saques para formação de reservas – por pessoas e empresas;Diminuição no volume de compras no comércio em geral com o início do período de isolamento social;Valores pagos em espécie aos beneficiários dos auxílios não retornaram com a velocidade esperada."
1116,Todos os associados têm direito de voto nas assembleias?,Cooperativas de crédito  Como me associar a uma cooperativa de crédito?,"Sim. Todos os associados têm poder de voto nas assembleias e todos os votos têm o mesmo peso, independentemente da sua cota de participação no capital social da cooperativa."
1117,Quais as etapas e os prazos de análise de uma cédula que foi retida pelo banco?,Cédulas Falsas e Suspeitas Dinheiro suspeito recebido em circunstância diferente do saque,"1ª. etapa: Banco encaminha dinheiro suspeito retido para o Banco Central (BC). Os prazos máximos para esse envio são: 30 dias corridos contados a partir da data de retenção, se a cédula foi retida num município onde exista uma representação do BC; ou45 dias corridos contados a partir da data de retenção, se a cédula foi retida num município onde não exista representação do BC;2ª. etapa: BC analisa o dinheiro suspeito e disponibiliza o resultado na internet: O prazo máximo (contado a partir da data em que o BC recebeu a cédula do banco) é de 20 dias corridos."
1118,Como fica o montante a ser pago nas faturas subsequentes caso eu tenha parcelado o saldo devedor de crédito rotativo?,Cartão de Crédito e Crédito Rotativo,"O montante a ser pago obrigatoriamente a cada mês será composto pela soma dos seguintes valores:saldo do crédito rotativo acrescido dos respectivos juros incidentes no período;prestação ou prestações resultantes de parcelamentos do saldo devedor de períodos anteriores, realizados após 30 dias de financiamento na modalidade de crédito rotativo;valor correspondente à aplicação do percentual, definido entre as partes, de pagamento mínimo sobre as compras e dos demais lançamentos realizados no período."
1119,Qual o prazo que a instituição reclamada tem para responder a minha reclamação?,Reclamações contra instituições autorizadas a funcionar pelo Banco Central,"Conforme dispõe a Circular 3.729, de 2014, as instituições reclamadas devem encaminhar resposta ao interessado, para o endereço eletrônico (e-mail) ou físico cadastrado na instituição, em até 10 dias úteis contados a partir da data de disponibilização do registro de reclamação. Caso a resposta seja por correspondência, o prazo de 10 dias úteis é até a postagem da correspondência, não sendo contado nesse período o tempo para sua entrega pelos correios, que varia de acordo com a região do País."
1120,Quais instituições poderão voluntariamente fazer parte do Open Banking?,Open Banking  Instituições participantes,"Podem, de forma voluntária, fazer parte do ecossistema do Open Banking para o compartilhamento de dados, as demais outras instituições financeiras e de pagamento autorizadas a funcionar pelo BC, desde que disponibilizem interface dedicada na condição de instituição transmissora de dados e registrem a sua participação no repositório de participantes a ser proposta pela estrutura responsável pela governança do processo de implementação do Open Banking."
1121,Quais são as taxas efetivas de juros segundo a origem dos recursos aplicados?,SEM-CATEGORIA,"recursos controlados, exceto quanto aos dos Fundos Constitucionais: obrigatórios: taxa efetiva de juros de 8,75% a.a. (oito inteiros e setenta e cinco centésimos por cento ao ano) para as operações contratadas a partir de 1º/7/2015, permitida a sua redução, a critério da instituição financeira, em financiamentos de custeio rural a produtores e suas cooperativas de produção agropecuária em que o tomador dispuser de mecanismo de proteção de preço ou de seguro da produção esperada ou ao amparo do Proagro;das Operações Oficiais de Crédito: a serem divulgadas quando da instituição da respectiva linha de crédito;nas operações subvencionadas pela União, sob a forma de equalização de encargos financeiros: de acordo com o que for definido pelo Conselho Monetário Nacional (CMN);créditos de comercialização: taxa efetiva de juros de 10,5% a.a. (dez inteiros e cinco décimos por cento ao ano) para as operações de Financiamento para Garantia de Preços ao Produtor (FGPP), e de 8,75% a.a. (oito inteiros e setenta e cinco centésimos por cento ao ano) para as demais operações de comercialização;recursos não controlados: livremente pactuadas entre as partes, observando-se que no caso de recursos da poupança rural, deve-se tomar por base:a remuneração básica aplicável aos depósitos de poupança com data de aniversário no dia da assinatura do respectivo contrato, acrescida de taxa efetiva de juros; outaxa efetiva de juros prefixada."
1122,A celebração de Termo de Compromisso implica reconhecimento da ilicitude da conduta?,Termo de Compromisso Informações gerais,"Não. A celebração de Termo de Compromisso não significa confissão quanto à matéria de fato, nem reconhecimento da ilicitude da conduta em questão."
1123,Qual o capital social mínimo das instituições do SFN?,Processos de Autorização do Banco Central Processo de autorização para constituição e funcionamento – Geral,"Em termos gerais, as instituições financeiras e demais instituições regidas pela Lei nº 4.595, de 1964, exceto as cooperativas de crédito, devem observar permanentemente, os seguintes limites mínimos de capital realizado e patrimônio líquido:  R$17,5 milhões: banco comercial e carteira comercial de banco múltiplo;R$12,5 milhões: banco de investimento, banco de desenvolvimento, correspondentes carteiras de banco múltiplo e caixa econômica;R$7 milhões: banco de câmbio, sociedade de crédito, financiamento e investimento, sociedade de crédito imobiliário, sociedade de arrendamento mercantil, bem como as seguintes carteiras de banco múltiplo: crédito, financiamento e investimento; crédito imobiliário; e arrendamento mercantil;R$4 milhões: agência de fomento;R$3 milhões: companhia hipotecária;R$1,5 milhão: sociedade corretora de títulos e valores mobiliários e sociedade distribuidora de títulos e valores mobiliários que sejam habilitadas à realização de operações compromissadas, bem como realizem operações de garantia firme de subscrição de valores mobiliários para revenda, de conta margem ou de swap em que haja assunção de quaisquer direitos ou obrigações com as contrapartes;R$550 mil: sociedade corretora de títulos e valores mobiliários e sociedade distribuidora de títulos e valores mobiliários que exerçam atividades não incluídas na alínea anterior; eR$350 mil: sociedade corretora de câmbio. Atenção! Esses valores são os mínimos regulamentares, de forma que o BC pode exigir valores superiores no curso do exame do pedido de autorização."
1124,Fui a uma corretora de câmbio para comprar moeda para viagem ao exterior e me ofereceram um cartão com valor em moeda estrangeira creditado nele. Essa prática é permitida?,Cartão de Crédito Internacional,"Sim, essa é uma prática usual no mercado. É como se você estivesse portando a própria moeda estrangeira, na medida em que, a cada pagamento, há uma dedução do crédito disponível no cartão."
1125,Posso cancelar uma reclamação registrada no Banco Central?,Reclamações contra instituições autorizadas a funcionar pelo Banco Central,"O cancelamento de uma reclamação a pedido do interessado não é permitido, mesmo que o problema que a motivou já tenha sido resolvido, uma vez que o foco de atuação do Banco Central no tratamento de reclamações é verificar eventuais indícios de descumprimentos legais e normativos por parte das instituições reclamadas e não especificamente a solução do problema individual apresentado."
1126,Quem pode propor um Termo de Compromisso?,Termo de Compromisso Informações gerais,"O Termo de Compromisso pode ser proposto por:instituições financeiras e demais instituições supervisionadas pelo BC, bem como por integrantes do Sistema de Pagamentos Brasileiro;pessoas físicas que atuem ou que atuaram como administradores, membros da diretoria, do conselho de administração, do conselho fiscal, do comitê de auditoria ou de outros órgãos previstos no estatuto ou contrato social de instituição mencionada no item ""1"";pessoas físicas ou jurídicas que prestem ou prestaram serviço de auditoria independente ou auditoria cooperativa, nos termos do art. 2º da Lei nº 13.506, de 2017;outras pessoas físicas ou jurídicas que, por força de legislação específica, se sujeitam à ação punitiva do BC, bem como por pessoas físicas ou jurídicas que, sem autorização do BC, exerçam ou exerceram atividade sujeita à sua supervisão."
1127,Os meus dados estão errados no SCR. Como fazer a correção?,SEM-CATEGORIA,"As informações remetidas para fins de registro no SCR são de exclusiva responsabilidade das instituições, inclusive no que diz respeito às inclusões, às correções, às exclusões, às marcações sub judice e ao registro de medidas judiciais e de manifestações de discordância apresentadas pelos contratantes.  Assim, somente a instituição responsável pela inclusão da informação no SCR pode alterá-la ou excluí-la. Se os seus dados estiverem errados, você deve, em primeiro lugar, solicitar a retificação à instituição responsável pela informação. Caso não haja entendimento entre as partes, você pode registrar reclamação naCentral de Atendimento ao Público do Banco Central ou questionar, na esfera judicial, a instituição financeira responsável pelo lançamento considerado inexato. Para registrar reclamação no Banco Central, acesse ""Reclamações contra bancos e outras instituições supervisionadas""."
1128,Como a pessoa física pode se cadastrar?,Registrato,"Para acessar o  Registrato, a pessoa física deverá se cadastrar previamente, utilizando uma das opções disponíveis na páginaCadastramento de pessoa física: celular, internet banking, certificado digital, por *correspondência ou *pessoalmente na sede do Banco Central em Brasília.  OBS: A opção de cadastramento por celular só está disponível nos aplicativos de algumas instituições financeiras. Consulte o link acima.  *Como prevenção ao Covid-19, o atendimento presencial em Brasília e o Protocolo Presencial estão temporariamente suspensos. Utilize os canais digitais."
1129,"Exportei durante o período, mas após responder às perguntas no sistema, não aparecem os campos de pagamentos. O que faço?",CBE - Capitais Brasileiros no Exterior Exportações,"Os campos de pagamentos só são necessários para aqueles declarantes pessoas jurídicas que responderam “Sim” a todas as três perguntas iniciais. Se este não foi seu caso, não são necessárias mais informações."
1130,O cliente pode consultar os consentimentos que estão válidos?,Open Banking  Autorização do cliente para compartilhamento de seus dados,"Sim. O cliente pode solicitar às instituições participantes envolvidas no compartilhamento de dados ou serviços a informação sobre os consentimentos que ele prestou e que ainda estejam válidos. Nesses casos, as instituições devem informar: as instituições participantes envolvidas no compartilhamento; os dados e serviços objeto de compartilhamento; o período de validade do consentimento; a data de requisição do consentimento; e  a finalidade do consentimento, no caso de instituição receptora de dados ou iniciadora de transação de pagamento."
1131,Todos os relacionamentos do CCS fazem parte do Bacen Jud?,SEM-CATEGORIA,"Para fins de ordens de bloqueio de valor, o Bacen Jud considera apenas os relacionamentos ativos no CCS quando do envio da ordem do Judiciário.  Para fins de ordens de requisição de informações, o Bacen Jud considera os relacionamentos ativos e os históricos do CCS."
1132,Como recebo um Pix?,Pagamento Instantâneo (Pix) Entendendo como receber um Pix,"Para receber um Pix, você pode:  gerar um QR Code e apresenta-lo ao pagador (seja a imagem do QR Code ou o códio atrelado a ele); ouinformar ao pagador sua chave Pix, que pode ser CPF/CNPJ, e-mail, telefone celular ou chave aleatória. Atenção: para gerar um QR Code é preciso necessariamente ter uma chave Pix cadastrada.    Caso não queira gerar o QR Code ou informar a chave, há a opção de informar os dados completos de sua conta ao pagador, que terá que inserir os dados manualmente.  Uma vez concluída a transação, o recurso será imediatamente encaminhado para sua conta e você receberá em tempo real uma mensagem confirmando o crédito na conta."
1133,Onde posso comprar as moedas comemorativas?,Moedas Comemorativas,No site daCasa da Moeda do Brasil.
1134,Qual a forma jurídica a ser adotada pela SEP e SCD?,Fintechs de Crédito (SCD e SEP) Informações gerais,SCD e SEP devem adotar a forma de Sociedade Anônima.
1135,Existe alguma garantia para o dinheiro depositado na cooperativa de crédito?,Liquidação Extrajudicial - Cooperativas de crédito,"Os depositantes das cooperativas associadas ao Fundo Garantidor do Cooperativismo de Crédito (FGCoop) podem se beneficiar da garantia ordinária do mencionado Fundo, desde que observados os requisitos, hipóteses e limites vigentes. O Regulamento do FGCoop estabelecido no Anexo II à Resolução 4.284, de 2013, estabelece os limites e instrumentos financeiros alcançados pela cobertura, como os depósitos à vista ou a prazo, e de poupança e letras de câmbio, imobiliárias, hipotecárias, de crédito imobiliário e de crédito do agronegócio. A cobertura é limitada a R$ 250.000,00 (duzentos e cinquenta mil reais) por pessoa contra a mesma cooperativa associada ao FGCoop, devendo ser observadas as regras para a aferição e aplicação desse limite. Mais informações sobre o FGCoop, seu Estatuto e Regulamento, estão disponíveis no sítio do FGCoop na internet: http://www.fgcoop.coop.br/."
1136,Existe alguma maneira de incentivar os bancos a destinarem recursos para o MPO?,Microcrédito Microcrédito Produtivo Orientado – Informações gerais,"Sim. Da média dos saldos de depósitos à vista nos bancos e da Caixa Econômica Federal, estes são obrigados a destinar, no mínimo, 2% para operações de MPO. Caso contrário, esses saldos devem ser depositados no BC sem qualquer remuneração.  Os bancos podem conceder MPO diretamente ao empreendedor, mas também podem  ser considerados: repassses de recursos a correspondentes para outras instituições financeiras; concessão de crédito a sociedades de crédito ao microempreendedor e à empresa de pequeno porte (SCMEPP); concessão de crédito a cooperativas singulares de crédito; e aquisição de créditos oriundos de operações de adiantamentos, empréstimos e financiamentos de outras instituições financeiras, de organizações da sociedade civil de interesse público, e de entidades, fundos ou programas voltados para o microcrédito.; as operações de crédito para aquisição de bens e serviços de tecnologia assistiva destinados a pessoas com deficiência até o limite de 20% do valor sujeito ao direcionamento  Em todos esses casos, os recursos devem ser aplicados integralmente em operações de MPO."
1137,Quais os padrões tecnológicos das interfaces dedicadas que compartilharão os dados e serviços do escopo do Open Banking?,Open Banking  Governança do processo de implementação do Open Banking,"O modelo do Open Banking prevê que as instituições participantes, por meio da estrutura responsável pela governança do seu processo de implementação, apresentarão ao BC propostas para padrões tecnológicos, procedimentos operacionais e outros aspectos necessários à implementação do Open Banking, inclusive no que diz respeito à implementação de interfaces dedicadas ao compartilhamento dos dados e serviços do seu escopo, observadas as regras, as diretrizes, os princípios e os objetivos do Open Banking. Por sua vez, o BC incorporará o conteúdo dessas propostas, no todo ou em parte, à regulamentação específica de responsabilidade do BC, no que couber, ou proporá sua incorporação à regulamentação de competência do Conselho Monetário Nacional."
1138,Como preencher o campo Custo total estimado no início da operação (aba Condições de pagamento)?,Registro Declaratório Eletrônico - Registro de Operações Financeiras (RDE-ROF) Registro de operações de Empréstimos Diretos ou Títulos,"O valor informado deve ser igual à taxa interna de retorno da operação, considerando as datas e os valores previstos de pagamento de principal e   juros. Para o cálculo da taxa interna de retorno, pode-se usar calculadora financeira ou planilha eletrônica de dados que tenha uma função de   cálculo de taxa interna de retorno (TIR ou XTIR). Para maiores detalhes e exemplos, consular o item 3.9.2 domanual do RDE-ROF."
1139,Como posso obter estatísticas sobre relacionamentos registrados no CCS?,Cadastro de Clientes do Sistema Financeiro Nacional (CCS) Informações gerais,"O site do Banco Central disponibilizaestatísticas atualizados sobre relacionamentos registrados no CCS, tanto por CPFs quanto por CNPJs envolvidos."
1140,Instituições não autorizadas pelo Banco Central poderão fazer parte do Open Banking?,Open Banking  Instituições participantes,"Não. No entanto, existe a possibilidade de celebração de contratos de parceria entre as instituições autorizadas a funcionar pelo BC e entes não regulados, inclusive localizados no exterior, para o compartilhamento de dados do escopo do Open Banking de clientes comuns a essas duas instituições, os quais deverão consentir de forma prévia e expressa para esse compartilhamento. Essa parceria decorre de estratégias de negócio das instituições, devendo o diretor da instituição autorizada responsável pelo compartilhamento emitir parecer favorável a essa contratação, previamente à sua formalização. Importante! É vedada a contratação de parcerias entre instituições autorizadas pelo BC ou em que o parceiro contratado atue em nome da instituição contratante para fins de compartilhamento."
1141,Quando a nova cédula entrará em circulação? Como faço para obter uma cédula nova?,"Cédula de R$200,00 Circulação e custo da cédula de 200 reais","A cédula de 200 reais foi lançada no dia 02/09/2020.  A quantidade de notas emitidas é definida pelo Conselho Monetário Nacional, a produção foi feita pela Casa da Moeda do Brasil e a circulação ocorre por intermédio dos bancos. As novas cédulas estão gradualmente entrando em circulação de acordo com a demanda da rede bancária, não sendo possível realizar a aquisição diretamente via BC."
1142,"Uma pessoa física (ou pessoa natural) pode ser autorizada pelo BC a atuar como instituição financeira, instituição de pagamento ou administradora de consórcio?",Processos de Autorização do Banco Central Informações Gerais,Não. Apenas pessoas jurídicas.
1143,Qual a metodologia de cálculo utilizada pela Calculadora do Cidadão?,Calculadora do cidadão Metodologia e cálculos,"A metodologia utilizada para os cálculos é a de juros compostos, conforme prática universal dos sistemas financeiros, nas operações de crédito, na remuneração de aplicações e na correção monetária."
1144,As operações de crédito e de financiamento entre pessoas por meio de plataforma eletrônica somente podem ser realizadas por meio da SEP?,Fintechs de Crédito (SCD e SEP) Empréstimo e financiamento,"Sim, essas operações são exclusivas de SEP. Caso outra modalidade de instituição financeira tenha interesse em realizar esse tipo de operação, é permitida a constituição de uma SEP dentro do conglomerado a que pertença."
1145,"Para registros ao amparo na Lei nº 11.371, de 2006, em Reais, quando há previsão de variação cambial (pois o contrato está em moeda estrangeira), como se deve realizar o registro?",Registro Declaratório Eletrônico - Registro de Operações Financeiras (RDE-ROF) Registro de operações de Empréstimos Diretos ou Títulos,"Nesse caso, o declarante deve registrar um RDE-ROF de Empréstimo Direto com amparo na Lei nº 11.371, de 2006, em reais, e proceder, imediatamente após a criação desse registro, uma repactuação com um novo registro RDE-ROF na moeda do contrato, de forma que o valor do ROF destino da repactuação represente corretamente o valor na moeda da Operação Financeira."
1146,"Já registrei uma reclamação sobre o processo de portabilidade na instituição financeira original, mas a resposta não foi satisfatória. O que eu faço?",SEM-CATEGORIA,"Caso você tenha encontrado alguma dificuldade para realizar a portabilidade e queira registrar reclamação junto ao Banco Central, é necessário apresentar as seguintes informações, que podem ser obtidas junto à instituição proponente: nome da instituição proponente;número da portabilidade na Câmara Interbancária de Pagamentos (CIP). Trata-se de um número que se inicia com o ano da solicitação da portabilidade e possui 21 dígitos;data da requisição da portabilidade feita eletronicamente na CIP;número do contrato da operação de crédito pactuado com a instituição financeira original;motivo da recusa selecionado pela instituição credora original no sistema da CIP.  Vejaaqui as perguntas mais frequentes sobre reclamações contra instituições autorizadas a funcionar pelo Banco Central."
1147,Quem pode atuar como correspondente de entidade autorizada a operar câmbio?,Câmbio,"As instituições autorizadas a operar no mercado de câmbio podem contratar correspondentes para a realização de compra e venda de moeda estrangeira. Podem ser correspondentes: sociedades, os empresários individuais, as associações e as empresas individuaisprestadores de serviços notariais e de registro (cartórios); eempresas públicas.Consulteaqui a relação de correspondentes em operações de câmbio.O correspondente atua por conta e sob as diretrizes da instituição contratante, que assume inteira responsabilidade pelo atendimento prestado aos clientes e usuários por meio do contratado, à qual cabe garantir a integridade, a confiabilidade, a segurança e o sigilo das transações realizadas por meio do contratado, bem como o cumprimento da legislação e da regulamentação relativa a essas transações."
1148,O que é taxa de câmbio?,Taxa de câmbio,"Taxa de câmbio é o preço de uma moeda estrangeira medido em unidades ou frações (centavos) da moeda nacional. Por exemplo, se a taxa de câmbio do dólar é 3,10, significa que um dólar dos Estados Unidos custa R$ 3,10. A taxa de câmbio reflete, assim, o custo de uma moeda em relação à outra."
1149,Meu grupo será transferido para outra administradora de consórcios?,Liquidação Extrajudicial - Consórcios,"Após decretação da liquidação extrajudicial, o liquidante iniciará o levantamento patrimonial da administradora e da situação econômica e financeira dos grupos. Concluído o levantamento, o liquidante publicará edital em jornal de grande circulação para habilitação de administradoras interessadas na transferência dos grupos de consórcio. Havendo administradora interessada na transferência dos grupos, será convocada assembleia para decidir sobre a proposta. A qualquer tempo durante a liquidação extrajudicial, o liquidante, por solicitação de 30% dos consorciados ativos do grupo, também poderá convocar assembleia para deliberar sobre substituição da administradora de consórcio."
1150,Como as prestações do financiamento são calculadas?,Crédito Imobiliário,"O Conselho Monetário Nacional e o Banco Central do Brasil não estabelecem critérios de cálculo das prestações de financiamentos habitacionais, pois eles dependem das cláusulas do contrato assinado entre o cliente e a instituição e do sistema de amortização adotado (SAC, Price, etc)."
